Frame,Tag,cX,cY
10,37,1373.5205078125,1189.77099609375
25,34,1373.25341796875,1188.7236328125
27,12,734.587158203125,326.0321350097656
57,12,687.019287109375,403.4112548828125
59,12,688.5084228515625,406.8935546875
61,12,687.823486328125,410.3323059082031
62,12,689.365478515625,412.55548095703125
67,12,694.2134399414062,425.0897216796875
68,12,694.65478515625,428.7386474609375
69,12,698.4613647460938,432.45330810546875
72,12,691.0225219726562,437.6788024902344
74,12,683.8016357421875,442.38250732421875
76,12,676.278076171875,442.6221923828125
77,12,670.4520263671875,440.532470703125
92,12,581.7034912109375,415.3236389160156
95,12,562.4258422851562,414.62640380859375
98,12,544.5289916992188,418.36175537109375
103,12,524.4866333007812,421.2096252441406
105,12,516.9610595703125,421.0431213378906
106,12,514.58837890625,421.98150634765625
109,12,508.87274169921875,423.980224609375
110,12,507.4612731933594,428.1329650878906
111,12,500.955810546875,426.82464599609375
112,12,500.40020751953125,426.647705078125
113,12,498.64892578125,428.9854431152344
125,17,1271.727783203125,598.2911376953125
126,17,1271.422119140625,597.50048828125
133,28,103.9707260131836,1114.7958984375
161,44,410.1764221191406,508.38409423828125
181,32,733.5,312.5
201,17,551.9383544921875,198.44149780273438
251,12,614.2349853515625,206.09934997558594
252,12,620.248779296875,198.35523986816406
262,12,643.5264892578125,127.40225219726562
263,12,641.3824462890625,115.60245513916016
265,12,633.1991577148438,106.55853271484375
267,12,626.4395751953125,103.96754455566406
268,12,624.4296264648438,104.27281188964844
270,12,619.215087890625,106.1705322265625
271,12,616.0238037109375,111.21182250976562
273,12,607.9164428710938,112.95832824707031
274,12,603.3524780273438,112.24652862548828
284,12,557.288330078125,114.14408874511719
289,13,190.85313415527344,1082.4560546875
290,12,535.1072387695312,111.1279296875
295,12,514.6394653320312,108.98997497558594
296,12,511.81170654296875,110.43657684326172
297,12,509.5141296386719,109.16241455078125
298,12,510.161865234375,106.97787475585938
326,13,265.21484375,904.674072265625
327,13,268.26702880859375,897.2372436523438
337,13,291.80694580078125,858.694091796875
356,12,482.53070068359375,98.14382934570312
363,12,505.2104797363281,93.09196472167969
372,12,520.1560668945312,95.77937316894531
376,12,519.8292236328125,95.91879272460938
386,37,568.4969482421875,1352.114013671875
410,7,1351.569580078125,865.1922607421875
413,7,1350.16748046875,860.1781616210938
414,7,1349.833251953125,860.49853515625
416,7,1350.94580078125,859.5817260742188
430,7,1344.5732421875,862.181884765625
434,7,1346.8406982421875,862.0827026367188
440,7,1346.0728759765625,860.4464111328125
445,7,1343.71435546875,861.778564453125
447,7,1344.876220703125,863.0540771484375
456,18,592.8285522460938,1163.55224609375
472,7,1340.2620849609375,848.72705078125
473,7,1340.276123046875,847.6964111328125
474,7,1339.8209228515625,848.244140625
475,7,1339.55126953125,848.3616943359375
476,7,1342.3055419921875,847.399169921875
479,7,1346.13330078125,842.4735717773438
487,12,398.54302978515625,166.83143615722656
489,12,398.3466796875,168.58944702148438
492,12,405.47686767578125,163.70912170410156
493,12,407.8409423828125,163.30218505859375
496,12,411.6142883300781,161.35443115234375
497,18,575.4170532226562,1293.828125
498,18,576.7359619140625,1291.975830078125
499,12,414.9842834472656,162.70193481445312
502,12,419.3184814453125,173.23385620117188
506,12,419.6958312988281,185.8439483642578
507,12,418.26422119140625,188.63653564453125
509,7,1346.993408203125,825.4893798828125
509,12,413.72552490234375,198.54443359375
511,12,414.457763671875,202.37303161621094
512,12,415.3953552246094,203.73130798339844
515,12,411.9727783203125,207.25653076171875
516,12,410.69195556640625,208.59307861328125
517,12,410.6874694824219,208.60772705078125
518,7,1353.16357421875,827.1964111328125
519,7,1352.6253662109375,827.3477783203125
520,12,401.0138244628906,216.24049377441406
521,12,399.33111572265625,215.390869140625
522,7,1352.447998046875,828.798828125
522,12,396.9507141113281,216.14239501953125
523,12,399.00775146484375,226.50765991210938
524,12,396.4202575683594,233.74285888671875
525,12,392.6844482421875,241.39663696289062
526,12,392.17169189453125,245.64935302734375
527,12,386.9207763671875,248.68417358398438
528,12,376.876220703125,257.43035888671875
534,7,1343.030517578125,836.166748046875
535,12,377.0430908203125,282.943115234375
538,12,391.818603515625,287.9041748046875
539,12,401.8524169921875,291.4468994140625
541,44,1344.5,843.5
541,12,405.3497009277344,292.7132568359375
542,12,405.20233154296875,298.852783203125
545,7,1343.841552734375,844.2774047851562
545,12,409.8356628417969,312.19000244140625
547,7,1350.0419921875,840.93212890625
548,7,1355.22607421875,837.2553100585938
549,7,1358.5400390625,833.1669921875
555,12,472.5046081542969,288.01531982421875
561,7,1356.892333984375,841.35546875
562,37,512.7520141601562,303.1077880859375
564,12,520.2779541015625,309.23211669921875
573,12,554.986328125,346.0032958984375
576,12,564.19287109375,360.47454833984375
589,37,1373.28955078125,859.0118408203125
590,7,1371.98974609375,862.299560546875
597,7,1365.28271484375,867.1455078125
604,7,1366.294921875,867.7763671875
619,7,1373.295166015625,874.2791748046875
633,17,815.1155395507812,431.46148681640625
634,17,814.2816162109375,431.4776611328125
635,40,812.592529296875,431.88427734375
637,37,67.2112045288086,1606.802978515625
641,37,61.45745086669922,1621.69482421875
644,13,79.72430419921875,73.72157287597656
645,13,78.1895980834961,72.95897674560547
649,13,81.05797576904297,80.17770385742188
652,7,1384.0908203125,886.3621826171875
653,7,1385.1767578125,885.9239501953125
659,34,44.5,1651.5
662,37,44.77165222167969,1643.8929443359375
663,37,45.729148864746094,1642.70166015625
670,37,51.08345031738281,1621.2208251953125
674,12,610.8436279296875,542.838134765625
675,12,610.0047607421875,547.4137573242188
679,12,604.0494995117188,553.6365966796875
680,12,601.8141479492188,557.5283203125
681,12,596.779296875,561.9893798828125
684,12,590.3251953125,566.1967163085938
688,12,585.3363037109375,570.1807861328125
691,12,581.5308837890625,571.921875
692,12,580.88818359375,571.484375
705,37,117.66581726074219,1696.595703125
717,12,512.6437377929688,564.68505859375
718,37,147.6358642578125,1702.275634765625
719,37,147.90640258789062,1702.013671875
720,12,505.727294921875,563.9620361328125
723,12,500.3934326171875,559.9794921875
724,12,494.8596496582031,557.0301513671875
725,12,492.13336181640625,555.2021484375
727,37,154.3885955810547,1713.48388671875
727,12,484.7582702636719,550.7408447265625
729,12,482.35504150390625,548.920654296875
731,12,480.6673278808594,546.91650390625
732,37,162.68145751953125,1714.2275390625
732,12,478.5911865234375,545.137451171875
733,37,163.57894897460938,1715.01171875
733,12,475.35760498046875,543.4022216796875
735,12,474.25103759765625,539.3689575195312
736,12,473.4424743652344,538.8148193359375
741,31,517.5,908.0
744,12,452.8997802734375,539.6658935546875
747,12,443.83123779296875,533.9373779296875
768,12,437.1498107910156,530.731201171875
769,12,437.3663330078125,529.43310546875
770,12,433.876220703125,529.427978515625
771,12,431.0467224121094,527.844482421875
772,12,429.8876953125,528.2568969726562
773,12,428.781982421875,524.0079956054688
780,12,437.9588623046875,527.6314697265625
781,12,436.96612548828125,527.4013671875
783,12,432.4620361328125,528.98681640625
784,12,431.23114013671875,529.4877319335938
788,12,432.6343994140625,530.1807861328125
789,12,432.81024169921875,530.8033447265625
790,12,432.5950622558594,530.4864501953125
792,12,431.00579833984375,531.5886840820312
793,12,431.8229675292969,531.3229370117188
794,12,431.93927001953125,530.8052978515625
795,12,429.8507385253906,529.783447265625
800,12,427.58026123046875,531.0361938476562
802,12,429.3460388183594,530.1226806640625
803,12,426.804443359375,528.289306640625
804,7,1424.885009765625,906.1517944335938
807,12,423.2546081542969,528.8314208984375
815,12,419.61419677734375,521.7437744140625
816,12,418.4784851074219,521.4561157226562
823,7,1417.58349609375,907.681884765625
824,7,1417.224853515625,908.718505859375
825,7,1416.0,910.0
828,12,419.2230529785156,524.6544799804688
836,7,1414.5,910.0
837,7,1413.5,910.0
838,7,1414.29931640625,908.08837890625
839,7,1412.30224609375,907.0869140625
844,13,452.65020751953125,162.10821533203125
857,13,469.87298583984375,156.00320434570312
858,13,469.7333984375,155.49879455566406
867,12,374.22967529296875,501.24847412109375
868,12,374.00994873046875,500.9006042480469
877,13,493.2335205078125,151.4058837890625
883,7,1409.13525390625,900.1118774414062
883,13,503.8442077636719,135.22552490234375
890,7,1403.90234375,898.8787841796875
891,7,1407.353759765625,897.9842529296875
897,7,1410.8809814453125,898.31298828125
915,13,560.9996337890625,114.40940856933594
919,13,571.925537109375,119.38702392578125
952,12,270.98333740234375,331.8645935058594
953,13,585.66552734375,115.37129211425781
954,12,273.25238037109375,320.9791259765625
960,12,286.0609130859375,299.07720947265625
963,13,585.5576171875,117.57866668701172
966,12,290.38934326171875,277.18768310546875
980,12,284.7745666503906,218.09176635742188
984,7,1467.0,912.0
995,13,583.8614501953125,120.16263580322266
996,13,583.86083984375,120.16305541992188
997,13,583.86083984375,120.16305541992188
998,13,583.86083984375,120.16305541992188
1000,13,583.7147216796875,120.322509765625
1001,13,583.7147216796875,120.322509765625
1002,13,583.7164306640625,120.3206558227539
1006,13,583.324951171875,120.81106567382812
1007,13,583.324951171875,120.81106567382812
1013,13,583.3248291015625,120.81094360351562
1019,44,1010.4793701171875,73.62378692626953
1020,44,1005.74658203125,78.2574234008789
1034,13,585.8043212890625,119.47312927246094
1052,13,585.8087158203125,117.71920776367188
1053,13,585.8087158203125,117.71920776367188
1088,13,584.2230224609375,119.00851440429688
1089,13,584.1817016601562,119.02588653564453
1090,13,584.2606201171875,120.12792205810547
1091,13,584.2606201171875,120.12792205810547
1098,13,583.9194946289062,117.04716491699219
1104,44,594.3753662109375,80.29103088378906
1105,17,593.5,79.5
1120,13,605.2626953125,166.91795349121094
1125,13,620.9592895507812,173.15988159179688
1126,13,626.0560913085938,173.47337341308594
1127,13,628.2647705078125,175.78729248046875
1131,13,638.0399169921875,174.39932250976562
1132,19,555.36572265625,307.68231201171875
1133,19,555.36572265625,307.68231201171875
1146,13,673.7706298828125,191.67965698242188
1152,13,690.099365234375,193.1519775390625
1153,13,696.0521240234375,199.33966064453125
1154,12,115.18220520019531,237.99111938476562
1154,13,700.8975219726562,201.8468780517578
1155,12,116.41807556152344,239.5269775390625
1157,13,719.63818359375,201.16748046875
1158,13,729.3275146484375,203.56710815429688
1161,13,749.365478515625,211.42257690429688
1165,12,120.60079956054688,259.75396728515625
1166,13,774.8952026367188,219.533203125
1167,12,122.91299438476562,264.02056884765625
1168,12,123.55345153808594,264.99822998046875
1169,13,788.5167846679688,216.70562744140625
1170,12,125.72279357910156,271.7752990722656
1171,12,125.20350646972656,275.61639404296875
1176,12,124.07357788085938,297.5069885253906
1177,12,124.10453033447266,302.7774963378906
1179,17,534.9005737304688,454.4268798828125
1180,17,536.3262939453125,453.96923828125
1184,17,535.9492797851562,454.01922607421875
1189,37,1664.8504638671875,1261.81982421875
1189,12,131.50811767578125,323.8224792480469
1194,37,129.75946044921875,336.376953125
1201,17,1433.213134765625,1338.24658203125
1203,12,115.02670288085938,361.26983642578125
1204,12,115.4752426147461,358.01141357421875
1205,12,118.62205505371094,354.0992126464844
1207,12,126.99942016601562,349.4305419921875
1215,13,831.5208740234375,222.4058837890625
1224,13,882.14404296875,234.1621551513672
1237,13,973.3710327148438,238.51837158203125
1245,12,198.0172119140625,294.6990966796875
1246,12,201.5507049560547,297.18804931640625
1246,13,1008.5,217.0
1250,12,209.90792846679688,296.5650939941406
1251,12,213.52249145507812,298.7544860839844
1252,12,215.52105712890625,299.9070739746094
1255,13,1028.8388671875,204.21591186523438
1256,12,214.95928955078125,299.7158203125
1267,12,217.3897705078125,298.5091552734375
1284,13,1047.3404541015625,177.9002227783203
1311,7,1609.373291015625,751.1346435546875
1317,7,1588.8759765625,743.5081787109375
1329,7,1575.8916015625,722.1221923828125
1333,7,1579.9134521484375,717.6309204101562
1335,7,1578.55126953125,714.7752685546875
1365,12,295.240478515625,364.83929443359375
1373,44,61.931583404541016,671.69287109375
1382,7,1571.444580078125,741.5466918945312
1385,7,1570.3460693359375,740.807861328125
1386,7,1572.409912109375,738.320556640625
1387,7,1570.113525390625,740.5215454101562
1391,7,1573.0111083984375,737.89208984375
1394,7,1571.0244140625,739.1131591796875
1395,7,1571.2203369140625,740.2198486328125
1397,17,431.88031005859375,1266.9169921875
1401,7,1571.95751953125,737.9820556640625
1405,7,1571.119384765625,739.5921630859375
1413,7,1571.54443359375,737.033935546875
1421,7,1570.3466796875,735.5196533203125
1422,7,1570.680908203125,735.66064453125
1424,7,1569.167724609375,738.780517578125
1425,7,1570.54296875,736.5643310546875
1428,7,1567.8427734375,740.2645874023438
1429,7,1566.54638671875,742.322509765625
1431,7,1564.770263671875,744.0032348632812
1432,7,1565.43505859375,741.9124145507812
1433,7,1565.2470703125,741.6841430664062
1434,7,1563.7227783203125,743.6680908203125
1436,7,1563.8031005859375,741.3125
1439,7,1564.7392578125,734.9837036132812
1452,12,304.1197204589844,405.479248046875
1462,12,295.34979248046875,413.2039794921875
1464,12,294.04766845703125,415.36383056640625
1465,12,293.9766845703125,415.4715576171875
1469,7,1567.145263671875,731.17822265625
1469,12,292.23040771484375,415.62908935546875
1472,7,1568.13037109375,726.9720458984375
1473,7,1566.6146240234375,726.9054565429688
1473,12,293.0142822265625,415.7352294921875
1474,12,292.80462646484375,415.8696594238281
1475,7,1565.509033203125,726.25341796875
1475,12,291.31561279296875,416.4901428222656
1476,12,291.67572021484375,416.95733642578125
1477,12,290.04180908203125,418.19720458984375
1479,12,287.4964599609375,421.402587890625
1481,12,286.6412353515625,422.21484375
1482,12,285.4617919921875,421.15545654296875
1483,12,285.66680908203125,421.1948547363281
1484,12,285.5882568359375,421.4558410644531
1485,12,284.2147216796875,422.4044494628906
1486,12,284.7347412109375,422.14666748046875
1487,7,1565.82421875,733.9986572265625
1487,12,284.75079345703125,421.90087890625
1488,12,284.88824462890625,421.15863037109375
1489,7,1562.648193359375,733.0973510742188
1489,12,284.5185241699219,420.89996337890625
1491,12,284.23419189453125,421.498779296875
1492,12,284.702880859375,421.19219970703125
1493,12,284.87750244140625,420.69927978515625
1496,12,284.3693542480469,417.8392333984375
1497,37,1656.8740234375,1136.653564453125
1510,7,1520.347412109375,742.1038818359375
1514,7,1515.0,741.5
1520,7,1515.0,742.5
1522,7,1514.5,738.5
1523,7,1510.19677734375,738.018798828125
1524,7,1509.100341796875,739.394775390625
1525,7,1510.5,742.5
1525,12,299.87567138671875,407.420654296875
1526,7,1511.0,744.0
1526,12,299.64239501953125,406.303466796875
1527,7,1510.3336181640625,748.4580078125
1527,12,299.66485595703125,405.59332275390625
1528,7,1511.0,746.0
1528,12,299.64617919921875,404.94720458984375
1530,12,298.76806640625,404.6880187988281
1533,12,298.2148132324219,403.97332763671875
1534,12,298.89776611328125,404.14208984375
1536,7,1511.0,746.5
1536,12,298.7215576171875,403.6753234863281
1537,7,1509.5,747.5
1537,12,298.7743835449219,403.7076416015625
1538,12,299.33233642578125,403.7442626953125
1539,12,300.1363220214844,404.02203369140625
1541,12,301.23095703125,404.38232421875
1542,12,300.66064453125,404.07080078125
1546,7,1495.5,754.5
1547,7,1494.5,755.5
1547,12,297.326904296875,401.32525634765625
1548,7,1493.0,755.5
